Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Bruno Fernandes,pt POR,MF,29,54.7,2422,3197,75.8,43264,15140,1138,1315,86.5,884,1087,81.3,315,570,55.3,18,12.6,13,5.4,135,303,126,16,463,Matches
André Onana,cm CMR,GK,28,50.7,1277,1742,73.3,31566,19944,291,294,99,679,685,99.1,300,747,40.2,0,0.2,0.3,-0.2,1,44,0,0,4,Matches
Noussair Mazraoui,ma MAR,DF,26,49.8,2272,2614,86.9,34520,11635,1224,1334,91.8,884,981,90.1,100,173,57.8,2,2,2.9,0,29,188,29,7,192,Matches
Diogo Dalot,pt POR,DF,25,49.5,1890,2324,81.3,30829,9545,970,1081,89.7,725,880,82.4,148,247,59.9,5,3.8,4.5,1.2,43,102,37,11,172,Matches
Alejandro Garnacho,ar ARG,"MF,FW",20,39.7,926,1173,78.9,12898,1610,584,660,88.5,261,320,81.6,39,68,57.4,10,7.2,4.3,2.8,59,30,37,6,78,Matches
Rasmus Højlund,dk DEN,FW,21,36.8,377,490,76.9,4049,747,270,328,82.3,58,81,71.6,8,10,80,2,5.1,1.9,-3.1,35,20,9,1,32,Matches
Matthijs de Ligt,nl NED,DF,24,34.6,1717,1902,90.3,30068,8495,635,672,94.5,1001,1067,93.8,72,136,52.9,0,0.6,0.5,-0.6,8,73,3,2,75,Matches
Manuel Ugarte,uy URU,MF,23,32,1115,1284,86.8,17907,3706,565,632,89.4,440,474,92.8,80,114,70.2,6,2.6,1.8,3.4,15,80,11,3,79,Matches
Casemiro,br BRA,MF,32,31.1,1323,1638,80.8,22084,7269,638,736,86.7,521,602,86.5,117,187,62.6,2,3.2,3.3,-1.2,36,140,39,7,157,Matches
Harry Maguire,eng ENG,DF,31,30.9,1317,1524,86.4,24980,8569,471,519,90.8,713,780,91.4,116,191,60.7,1,1.1,0.7,-0.1,13,74,6,1,73,Matches
Amad Diallo,ci CIV,"MF,FW",22,30.6,1051,1256,83.7,14604,2842,637,703,90.6,311,359,86.6,51,96,53.1,8,7.5,5.6,0.5,61,34,46,8,78,Matches
