source,target,weight,source_position,target_position
Fernandes,Casemiro,0.4427,MF,MF
Mazraoui,Dalot,0.8638,DF,DF
Mazraoui,Ligt,0.5732,DF,DF
Mazraoui,Maguire,0.4799,DF,DF
Mazraoui,Martínez,0.8577,DF,DF
Mazraoui,Yoro,0.4304,DF,DF
Dalot,Ligt,0.6723,DF,DF
Dalot,Maguire,0.5606,DF,DF
Dalot,Martínez,0.9224,DF,DF
Dalot,Yoro,0.5008,DF,DF
Garnacho,Ugarte,0.9089,MF,MF
Garnacho,Casemiro,0.5984,MF,MF
Garnacho,Diallo,0.9405,MF,MF
Garnacho,Mainoo,0.9026,MF,MF
Garnacho,Eriksen,0.9428,MF,MF
Garnacho,Mount,0.4611,MF,MF
Højlund,Zirkzee,0.7201,FW,FW
Højlund,Rashford,0.9348,FW,FW
Ligt,Maguire,0.8702,DF,DF
Ligt,Martínez,0.7029,DF,DF
Ligt,Yoro,0.8078,DF,DF
Ligt,Dorgu,0.544,DF,DF
Ligt,Lindelöf,0.4341,DF,DF
Ligt,Shaw,0.4006,DF,DF
Ugarte,Casemiro,0.673,MF,MF
Ugarte,Diallo,0.965,MF,MF
Ugarte,Mainoo,0.823,MF,MF
Ugarte,Eriksen,0.8604,MF,MF
Ugarte,Mount,0.4302,MF,MF
Casemiro,Diallo,0.6456,MF,MF
Casemiro,Mainoo,0.5367,MF,MF
Casemiro,Eriksen,0.5597,MF,MF
Maguire,Martínez,0.5812,DF,DF
Maguire,Yoro,0.9033,DF,DF
Maguire,Dorgu,0.6079,DF,DF
Maguire,Lindelöf,0.4942,DF,DF
Maguire,Shaw,0.4448,DF,DF
Diallo,Mainoo,0.8509,MF,MF
Diallo,Eriksen,0.8894,MF,MF
Diallo,Mount,0.4421,MF,MF
Martínez,Yoro,0.515,DF,DF
Zirkzee,Rashford,0.702,FW,FW
Mainoo,Eriksen,0.9578,MF,MF
Mainoo,Mount,0.5058,MF,MF
Yoro,Dorgu,0.6536,DF,DF
Yoro,Lindelöf,0.5404,DF,DF
Yoro,Shaw,0.4755,DF,DF
Eriksen,Mount,0.4831,MF,MF
Dorgu,Lindelöf,0.8455,DF,DF
Dorgu,Shaw,0.7217,DF,DF
Lindelöf,Shaw,0.8104,DF,DF
Evans,Shaw,0.4833,DF,DF
Evans,Antony,0.5906,DF,DF
Evans,Amass,0.6147,DF,DF
Evans,Malacia,0.7685,DF,DF
Evans,Heaven,0.5503,DF,DF
Evans,Fredricson,0.5099,DF,DF
Antony,Amass,0.8426,DF,DF
Antony,Malacia,0.7732,DF,DF
Antony,Heaven,0.9407,DF,DF
Antony,Fredricson,0.858,DF,DF
Amass,Malacia,0.8333,DF,DF
Amass,Heaven,0.8952,DF,DF
Amass,Fredricson,0.8293,DF,DF
Malacia,Heaven,0.7285,DF,DF
Malacia,Fredricson,0.6627,DF,DF
Heaven,Fredricson,0.9167,DF,DF
